"","Pick","Value"
"1",1,3000
"2",2,2600
"3",3,2200
"4",4,1800
"5",5,1700
"6",6,1600
"7",7,1500
"8",8,1400
"9",9,1350
"10",10,1300
"11",11,1250
"12",12,1200
"13",13,1150
"14",14,1100
"15",15,1050
"16",16,1000
"17",17,950
"18",18,900
"19",19,875
"20",20,850
"21",21,800
"22",22,780
"23",23,760
"24",24,740
"25",25,720
"26",26,700
"27",27,680
"28",28,660
"29",29,640
"30",30,620
"31",31,600
"32",32,590
"33",33,580
"34",34,560
"35",35,550
"36",36,540
"37",37,530
"38",38,520
"39",39,510
"40",40,500
"41",41,490
"42",42,480
"43",43,470
"44",44,460
"45",45,450
"46",46,440
"47",47,430
"48",48,420
"49",49,410
"50",50,400
"51",51,390
"52",52,380
"53",53,370
"54",54,360
"55",55,350
"56",56,340
"57",57,330
"58",58,320
"59",59,310
"60",60,300
"61",61,292
"62",62,284
"63",63,276
"64",64,270
"65",65,265
"66",66,260
"67",67,255
"68",68,250
"69",69,245
"70",70,240
"71",71,235
"72",72,230
"73",73,225
"74",74,220
"75",75,215
"76",76,210
"77",77,205
"78",78,200
"79",79,195
"80",80,190
"81",81,185
"82",82,180
"83",83,175
"84",84,170
"85",85,165
"86",86,160
"87",87,155
"88",88,150
"89",89,145
"90",90,140
"91",91,136
"92",92,132
"93",93,128
"94",94,124
"95",95,120
"96",96,116
"97",97,112
"98",98,108
"99",99,104
"100",100,100
"101",101,96
"102",102,92
"103",103,88
"104",104,86
"105",105,84
"106",106,82
"107",107,80
"108",108,78
"109",109,76
"110",110,74
"111",111,72
"112",112,70
"113",113,68
"114",114,66
"115",115,64
"116",116,62
"117",117,60
"118",118,58
"119",119,56
"120",120,54
"121",121,52
"122",122,50
"123",123,49
"124",124,48
"125",125,47
"126",126,46
"127",127,45
"128",128,44
"129",129,43
"130",130,42
"131",131,41
"132",132,40
"133",133,39.5
"134",134,39
"135",135,38.5
"136",136,38
"137",137,37.5
"138",138,37
"139",139,36.5
"140",140,36
"141",141,35.5
"142",142,35
"143",143,34.5
"144",144,34
"145",145,33.5
"146",146,33
"147",147,32.6
"148",148,32.2
"149",149,31.8
"150",150,31.4
"151",151,31
"152",152,30.6
"153",153,30.2
"154",154,29.8
"155",155,29.4
"156",156,29
"157",157,28.6
"158",158,28.2
"159",159,27.8
"160",160,27.4
"161",161,27
"162",162,26.6
"163",163,26.2
"164",164,25.8
"165",165,25.4
"166",166,25
"167",167,24.6
"168",168,24.2
"169",169,23.8
"170",170,23.4
"171",171,23
"172",172,22.6
"173",173,22.2
"174",174,21.8
"175",175,21.4
"176",176,21
"177",177,20.6
"178",178,20.2
"179",179,19.8
"180",180,19.4
"181",181,19
"182",182,18.6
"183",183,18.2
"184",184,17.8
"185",185,17.4
"186",186,17
"187",187,16.6
"188",188,16.2
"189",189,15.8
"190",190,15.4
"191",191,15
"192",192,14.6
"193",193,14.2
"194",194,13.8
"195",195,13.4
"196",196,13
"197",197,12.6
"198",198,12.2
"199",199,11.8
"200",200,11.4
"201",201,11
"202",202,10.6
"203",203,10.2
"204",204,9.8
"205",205,9.4
"206",206,9
"207",207,8.6
"208",208,8.2
"209",209,7.8
"210",210,7.4
"211",211,7
"212",212,6.6
"213",213,6.2
"214",214,5.8
"215",215,5.4
"216",216,5
"217",217,4.6
"218",218,4.2
"219",219,3.8
"220",220,3.4
"221",221,3
"222",222,2.6
"223",223,2.3
"224",224,2
